image_path,xmin,ymin,xmax,ymax,label
Orthophoto_University_Example.tif,3764,500,3785,501,Tree
Orthophoto_University_Example.tif,2241,3456,2258,3475,Tree
Orthophoto_University_Example.tif,3020,1265,3039,1284,Tree
Orthophoto_University_Example.tif,3008,949,3027,969,Tree
Orthophoto_University_Example.tif,3084,3461,3103,3483,Tree
Orthophoto_University_Example.tif,3223,1044,3241,1064,Tree
Orthophoto_University_Example.tif,1216,1275,1236,1276,Tree
Orthophoto_University_Example.tif,2018,513,2039,514,Tree
Orthophoto_University_Example.tif,3827,1130,3847,1151,Tree
Orthophoto_University_Example.tif,2515,1297,2531,1313,Tree
Orthophoto_University_Example.tif,2162,2144,2177,2145,Tree
Orthophoto_University_Example.tif,1322,1763,1337,1764,Tree
Orthophoto_University_Example.tif,3508,3723,3525,3742,Tree
Orthophoto_University_Example.tif,3530,972,3552,994,Tree
Orthophoto_University_Example.tif,1372,1965,1390,1983,Tree
Orthophoto_University_Example.tif,1281,1278,1303,1300,Tree
Orthophoto_University_Example.tif,3772,2173,3792,2193,Tree
Orthophoto_University_Example.tif,3581,1639,3599,1660,Tree
Orthophoto_University_Example.tif,2681,1204,2699,1221,Tree
Orthophoto_University_Example.tif,2213,2029,2214,2030,Tree
Orthophoto_University_Example.tif,32,844,50,861,Tree
Orthophoto_University_Example.tif,264,266,265,289,Tree
Orthophoto_University_Example.tif,3508,3976,3520,3997,Tree
Orthophoto_University_Example.tif,1378,1781,1396,1800,Tree
Orthophoto_University_Example.tif,1982,3797,1999,3814,Tree
Orthophoto_University_Example.tif,2437,1265,2453,1282,Tree
Orthophoto_University_Example.tif,1086,3195,1102,3213,Tree
Orthophoto_University_Example.tif,999,1010,1017,1011,Tree
Orthophoto_University_Example.tif,1987,2130,2000,2153,Tree
Orthophoto_University_Example.tif,1757,716,1773,735,Tree
Orthophoto_University_Example.tif,552,2916,570,2933,Tree
Orthophoto_University_Example.tif,3861,1908,3890,1939,Tree
Orthophoto_University_Example.tif,1252,3100,1253,3121,Tree
Orthophoto_University_Example.tif,1265,1248,1284,1249,Tree
Orthophoto_University_Example.tif,2349,3288,2366,3305,Tree
Orthophoto_University_Example.tif,2732,2788,2754,2813,Tree
Orthophoto_University_Example.tif,1264,1229,1265,1251,Tree
Orthophoto_University_Example.tif,2019,390,2038,410,Tree
Orthophoto_University_Example.tif,2651,1289,2667,1305,Tree
Orthophoto_University_Example.tif,2290,2267,2308,2285,Tree
Orthophoto_University_Example.tif,2339,2456,2358,2457,Tree
Orthophoto_University_Example.tif,1364,1682,1381,1699,Tree
Orthophoto_University_Example.tif,1172,1031,1192,1051,Tree
Orthophoto_University_Example.tif,873,1070,888,1086,Tree
Orthophoto_University_Example.tif,2885,1289,2900,1305,Tree
Orthophoto_University_Example.tif,1078,1707,1095,1708,Tree
Orthophoto_University_Example.tif,2701,779,2721,801,Tree
Orthophoto_University_Example.tif,1879,1586,1898,1605,Tree
Orthophoto_University_Example.tif,1823,3179,1844,3200,Tree
Orthophoto_University_Example.tif,1250,1683,1269,1702,Tree
Orthophoto_University_Example.tif,2076,3317,2093,3334,Tree
Orthophoto_University_Example.tif,3707,2163,3728,2185,Tree
Orthophoto_University_Example.tif,3019,3447,3040,3469,Tree
Orthophoto_University_Example.tif,1927,1317,1953,1343,Tree
Orthophoto_University_Example.tif,3704,1456,3722,1476,Tree
Orthophoto_University_Example.tif,1106,1833,1107,1851,Tree
Orthophoto_University_Example.tif,3481,3980,3500,4002,Tree
Orthophoto_University_Example.tif,2462,1262,2478,1278,Tree
Orthophoto_University_Example.tif,2688,3573,2705,3590,Tree
Orthophoto_University_Example.tif,2157,3678,2181,3703,Tree
Orthophoto_University_Example.tif,61,861,85,885,Tree
Orthophoto_University_Example.tif,2798,1272,2816,1292,Tree
Orthophoto_University_Example.tif,548,1396,564,1413,Tree
Orthophoto_University_Example.tif,2666,3561,2681,3578,Tree
Orthophoto_University_Example.tif,1331,3238,1352,3261,Tree
Orthophoto_University_Example.tif,590,2780,606,2781,Tree
Orthophoto_University_Example.tif,1213,1652,1229,1669,Tree
Orthophoto_University_Example.tif,3267,1987,3289,2007,Tree
Orthophoto_University_Example.tif,1073,1935,1093,1957,Tree
Orthophoto_University_Example.tif,1297,1315,1316,1334,Tree
Orthophoto_University_Example.tif,1279,1711,1297,1731,Tree
Orthophoto_University_Example.tif,2626,3784,2640,3785,Tree
Orthophoto_University_Example.tif,2241,2482,2259,2500,Tree
Orthophoto_University_Example.tif,3834,2301,3864,2332,Tree
Orthophoto_University_Example.tif,2850,554,2851,587,Tree
Orthophoto_University_Example.tif,2512,1167,2530,1187,Tree
Orthophoto_University_Example.tif,3126,1344,3149,1365,Tree
Orthophoto_University_Example.tif,3412,1226,3428,1243,Tree
Orthophoto_University_Example.tif,2815,3335,2836,3357,Tree
Orthophoto_University_Example.tif,2525,1731,2544,1750,Tree
Orthophoto_University_Example.tif,1251,1716,1266,1733,Tree
Orthophoto_University_Example.tif,3018,3967,3019,3986,Tree
Orthophoto_University_Example.tif,2627,2454,2640,2476,Tree
Orthophoto_University_Example.tif,1761,296,1781,317,Tree
Orthophoto_University_Example.tif,1369,1827,1388,1848,Tree
Orthophoto_University_Example.tif,3794,498,3817,521,Tree
Orthophoto_University_Example.tif,3811,438,3833,459,Tree
Orthophoto_University_Example.tif,1330,3885,1355,3886,Tree
Orthophoto_University_Example.tif,878,1187,899,1208,Tree
Orthophoto_University_Example.tif,2248,3982,2270,4004,Tree
Orthophoto_University_Example.tif,2073,400,2091,420,Tree
Orthophoto_University_Example.tif,1305,1731,1323,1732,Tree
Orthophoto_University_Example.tif,2281,1067,2302,1090,Tree
Orthophoto_University_Example.tif,57,814,73,833,Tree
Orthophoto_University_Example.tif,2619,2011,2638,2032,Tree
Orthophoto_University_Example.tif,3875,3797,3894,3819,Tree
Orthophoto_University_Example.tif,3806,522,3825,543,Tree
Orthophoto_University_Example.tif,3075,2813,3093,2832,Tree
Orthophoto_University_Example.tif,2726,3900,2741,3916,Tree
Orthophoto_University_Example.tif,3312,3909,3333,3932,Tree
Orthophoto_University_Example.tif,573,2606,596,2630,Tree
Orthophoto_University_Example.tif,1354,1921,1369,1937,Tree
Orthophoto_University_Example.tif,62,139,83,163,Tree
Orthophoto_University_Example.tif,3791,1572,3812,1591,Tree
Orthophoto_University_Example.tif,1931,2212,1954,2236,Tree
Orthophoto_University_Example.tif,3835,1802,3857,1825,Tree
Orthophoto_University_Example.tif,2028,2226,2048,2248,Tree
Orthophoto_University_Example.tif,2655,1587,2674,1605,Tree
Orthophoto_University_Example.tif,612,2844,638,2869,Tree
Orthophoto_University_Example.tif,3576,2362,3598,2384,Tree
Orthophoto_University_Example.tif,823,387,844,399,Tree
Orthophoto_University_Example.tif,543,1446,563,1467,Tree
Orthophoto_University_Example.tif,105,848,129,872,Tree
Orthophoto_University_Example.tif,706,3149,720,3171,Tree
Orthophoto_University_Example.tif,3056,3525,3072,3526,Tree
Orthophoto_University_Example.tif,2781,1136,2782,1152,Tree
Orthophoto_University_Example.tif,3221,1016,3237,1033,Tree
Orthophoto_University_Example.tif,2039,446,2060,469,Tree
Orthophoto_University_Example.tif,1913,424,1929,440,Tree
Orthophoto_University_Example.tif,2684,3186,2705,3208,Tree
Orthophoto_University_Example.tif,3763,2251,3786,2272,Tree
Orthophoto_University_Example.tif,1233,1921,1249,1939,Tree
Orthophoto_University_Example.tif,1926,517,1945,538,Tree
Orthophoto_University_Example.tif,3508,3789,3529,3816,Tree
Orthophoto_University_Example.tif,2957,2232,2976,2252,Tree
Orthophoto_University_Example.tif,410,2793,427,2811,Tree
Orthophoto_University_Example.tif,2895,1884,2916,1903,Tree
Orthophoto_University_Example.tif,2654,3524,2671,3541,Tree
Orthophoto_University_Example.tif,1347,1841,1361,1857,Tree
Orthophoto_University_Example.tif,989,1665,1014,1679,Tree
Orthophoto_University_Example.tif,1838,137,1856,154,Tree
